Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,145.923000,-100.203000,270.000000,bottom
C2,100n,C_0603_1608Metric,131.953000,-100.203000,270.000000,bottom
C3,100n,C_0603_1608Metric,137.795000,-90.551000,270.000000,bottom
J1,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,144.399000,-81.788000,-0.000000,bottom
J2,Conn_01x03,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,134.747000,-83.566000,0.000000,bottom
R1,100,R_0603_1608Metric,132.969000,-90.551000,270.000000,bottom
R2,4.7K,R_0603_1608Metric,141.351000,-90.551000,90.000000,bottom
R3,4.7K,R_0603_1608Metric,139.573000,-90.551000,90.000000,bottom
U1,DS3231M,SOIC-16W_7.5x10.3mm_P1.27mm,138.938000,-101.473000,270.000000,bottom
U2,74AHCT1G125,SOT-353_SC-70-5,135.382000,-90.551000,270.000000,bottom
BT1,Battery_Cell,BatteryHolder_Keystone_1060_1x2032,138.938000,-94.996000,90.000000,top
